data_coleta,titulo,resumo,instituicao,nivel,area,vagas,inscricoes_inicio,inscricoes_fim,url,status,data_publicacao,fonte,banca,salario_max
2026-06-06T17:25:59.811Z,Estão abertas as inscrições para o...,Estão abertas as inscrições para o Concurso Público e Processo Seletivo da Prefeitura de Gentio do Ouro. ✓ 60 vagas disponíveis Inscrições: de 22 de janeiro a ...,Gov Bahia (SEC),Superior,Geral / Outras Áreas,60,2026-04-30T00:00:00.000Z,2026-06-02T00:00:00.000Z,https://www.gentiodoouro.ba.gov.br/portal/noticias/0/3/932/estao-abertas-as-inscricoes-para-o-concurso-publico-e-processo-seletivo-da-prefeitura-de-gentio-do-ouro,Encerrado,2026-06-02T17:18:30.693Z,Diário Oficial de Gov Bahia (SEC),A definir,3500
2026-06-06T17:25:59.811Z,Concursos e Processos Seletivos | Prefeitura Municipal de Riachão do Jacuípe,"Concursos e Processos Seletivos ; CONCURSO PÚBLICO 2026, Concurso, PREFEITURA MUNICIPAL DE RIACHÃO DO JACUÍPE ; PROCESSO SELETIVO 2026 ; PROCESSO SELETIVO 001/2025 ...",Gov Bahia (SEC),Superior,Geral / Outras Áreas,10,2026-05-27T00:00:00.000Z,2026-06-05T00:00:00.000Z,https://www.riachaodojacuipe.ba.gov.br/concursos-e-processos-seletivos,Encerrado,2026-06-02T17:18:30.693Z,Diário Oficial de Gov Bahia (SEC),A definir,3500
2026-06-06T17:48:08.034Z,Estão abertas as inscrições para o...,Estão abertas as inscrições para o Concurso Público e Processo Seletivo da Prefeitura de Gentio do Ouro. ✓ 60 vagas disponíveis Inscrições: de 22 de janeiro a ...,Gov Bahia (SEC),Superior,Geral / Outras Áreas,60,2026-04-30T00:00:00.000Z,2026-06-02T00:00:00.000Z,https://www.gentiodoouro.ba.gov.br/portal/noticias/0/3/932/estao-abertas-as-inscricoes-para-o-concurso-publico-e-processo-seletivo-da-prefeitura-de-gentio-do-ouro,Encerrado,2026-06-02T17:39:18.213Z,Diário Oficial de Gov Bahia (SEC),A definir,3500
2026-06-06T17:48:08.034Z,Concursos e Processos Seletivos | Prefeitura Municipal de Riachão do Jacuípe,"Concursos e Processos Seletivos ; CONCURSO PÚBLICO 2026, Concurso, PREFEITURA MUNICIPAL DE RIACHÃO DO JACUÍPE ; PROCESSO SELETIVO 2026 ; PROCESSO SELETIVO 001/2025 ...",Gov Bahia (SEC),Superior,Geral / Outras Áreas,10,2026-05-27T00:00:00.000Z,2026-06-05T00:00:00.000Z,https://www.riachaodojacuipe.ba.gov.br/concursos-e-processos-seletivos,Encerrado,2026-06-02T17:39:18.213Z,Diário Oficial de Gov Bahia (SEC),A definir,3500
2026-06-06T19:57:24.106Z,Estão abertas as inscrições para o...,Estão abertas as inscrições para o Concurso Público e Processo Seletivo da Prefeitura de Gentio do Ouro. ✓ 60 vagas disponíveis Inscrições: de 22 de janeiro a ...,Gov Bahia (SEC),Superior,Geral / Outras Áreas,60,2026-04-30T00:00:00.000Z,2026-06-02T00:00:00.000Z,https://www.gentiodoouro.ba.gov.br/portal/noticias/0/3/932/estao-abertas-as-inscricoes-para-o-concurso-publico-e-processo-seletivo-da-prefeitura-de-gentio-do-ouro,Encerrado,2026-06-02T19:51:40.236Z,Diário Oficial de Gov Bahia (SEC),A definir,3500
2026-06-06T19:57:24.106Z,Concursos e Processos Seletivos | Prefeitura Municipal de Riachão do Jacuípe,"Concursos e Processos Seletivos ; CONCURSO PÚBLICO 2026, Concurso, PREFEITURA MUNICIPAL DE RIACHÃO DO JACUÍPE ; PROCESSO SELETIVO 2026 ; PROCESSO SELETIVO 001/2025 ...",Gov Bahia (SEC),Superior,Geral / Outras Áreas,10,2026-05-27T00:00:00.000Z,2026-06-05T00:00:00.000Z,https://www.riachaodojacuipe.ba.gov.br/concursos-e-processos-seletivos,Encerrado,2026-06-02T19:51:40.236Z,Diário Oficial de Gov Bahia (SEC),A definir,3500
2026-06-06T21:40:45.423Z,Estão abertas as inscrições para o...,Estão abertas as inscrições para o Concurso Público e Processo Seletivo da Prefeitura de Gentio do Ouro. ✓ 60 vagas disponíveis Inscrições: de 22 de janeiro a ...,Gov Bahia (SEC),Superior,Geral / Outras Áreas,60,2026-04-30T00:00:00.000Z,2026-06-02T00:00:00.000Z,https://www.gentiodoouro.ba.gov.br/portal/noticias/0/3/932/estao-abertas-as-inscricoes-para-o-concurso-publico-e-processo-seletivo-da-prefeitura-de-gentio-do-ouro,Encerrado,2026-06-02T21:34:41.527Z,Diário Oficial de Gov Bahia (SEC),A definir,3500
2026-06-06T21:40:45.423Z,Concursos e Processos Seletivos | Prefeitura Municipal de Riachão do Jacuípe,"Concursos e Processos Seletivos ; CONCURSO PÚBLICO 2026, Concurso, PREFEITURA MUNICIPAL DE RIACHÃO DO JACUÍPE ; PROCESSO SELETIVO 2026 ; PROCESSO SELETIVO 001/2025 ...",Gov Bahia (SEC),Superior,Geral / Outras Áreas,10,2026-05-27T00:00:00.000Z,2026-06-05T00:00:00.000Z,https://www.riachaodojacuipe.ba.gov.br/concursos-e-processos-seletivos,Encerrado,2026-06-02T21:34:41.527Z,Diário Oficial de Gov Bahia (SEC),A definir,3500
2026-06-06T23:39:37.300Z,Estão abertas as inscrições para o...,Estão abertas as inscrições para o Concurso Público e Processo Seletivo da Prefeitura de Gentio do Ouro. ✓ 60 vagas disponíveis Inscrições: de 22 de janeiro a ...,Gov Bahia (SEC),Superior,Geral / Outras Áreas,60,2026-04-30T00:00:00.000Z,2026-06-02T00:00:00.000Z,https://www.gentiodoouro.ba.gov.br/portal/noticias/0/3/932/estao-abertas-as-inscricoes-para-o-concurso-publico-e-processo-seletivo-da-prefeitura-de-gentio-do-ouro,Encerrado,2026-06-02T23:33:25.895Z,Diário Oficial de Gov Bahia (SEC),A definir,3500
2026-06-06T23:39:37.300Z,Concursos e Processos Seletivos | Prefeitura Municipal de Riachão do Jacuípe,"CONCURSO PÚBLICO 2026, Concurso, PREFEITURA MUNICIPAL DE RIACHÃO DO JACUÍPE ; PROCESSO SELETIVO 2026 ; PROCESSO SELETIVO 001/2025, Processo ...",Gov Bahia (SEC),Superior,Geral / Outras Áreas,10,2026-05-27T00:00:00.000Z,2026-06-05T00:00:00.000Z,https://riachaodojacuipe.ba.gov.br/concursos-e-processos-seletivos/acessoexterno/https/transparencia.sudoesteinformatica.com.br/portaltransparencia/processos-de-licitacoes-e-contratacoes-diretas,Encerrado,2026-06-02T23:33:25.895Z,Diário Oficial de Gov Bahia (SEC),A definir,3500
2026-06-07T05:02:31.925Z,Concurso Prefeitura de Lauro de Freitas - Vagas para Assistente e Guarda Municipal,Processo seletivo de Lauro de Freitas para níveis médio e técnico em cargos de Assistente Administrativo e Guarda Municipal. Banca IDIB.,Prefeitura de Salvador,Médio,Geral / Outras Áreas,80,2026-06-05T05:02:31.922Z,2026-06-19T05:02:31.922Z,http://www.concursos.salvador.ba.gov.br/,Aberto,2026-06-02T05:02:31.922Z,Diário Oficial de Prefeitura de Salvador,IDIB,2400
2026-06-07T09:43:52.324Z,Concurso Prefeitura de Lauro de Freitas - Vagas para Assistente e Guarda Municipal,Processo seletivo de Lauro de Freitas para níveis médio e técnico em cargos de Assistente Administrativo e Guarda Municipal. Banca IDIB.,Prefeitura de Salvador,Médio,Geral / Outras Áreas,80,2026-06-05T09:43:52.321Z,2026-06-19T09:43:52.321Z,http://www.concursos.salvador.ba.gov.br/,Aberto,2026-06-02T09:43:52.321Z,Diário Oficial de Prefeitura de Salvador,IDIB,2400
2026-06-07T12:06:57.460Z,Concurso Prefeitura de Lauro de Freitas - Vagas para Assistente e Guarda Municipal,Processo seletivo de Lauro de Freitas para níveis médio e técnico em cargos de Assistente Administrativo e Guarda Municipal. Banca IDIB.,Prefeitura de Salvador,Médio,Geral / Outras Áreas,80,2026-06-05T12:06:57.459Z,2026-06-19T12:06:57.459Z,http://www.concursos.salvador.ba.gov.br/,Aberto,2026-06-02T12:06:57.459Z,Diário Oficial de Prefeitura de Salvador,IDIB,2400
2026-06-07T14:25:39.441Z,Concurso Prefeitura de Lauro de Freitas - Vagas para Assistente e Guarda Municipal,Processo seletivo de Lauro de Freitas para níveis médio e técnico em cargos de Assistente Administrativo e Guarda Municipal. Banca IDIB.,Prefeitura de Salvador,Médio,Geral / Outras Áreas,80,2026-06-05T14:25:39.439Z,2026-06-19T14:25:39.439Z,http://www.concursos.salvador.ba.gov.br/,Aberto,2026-06-02T14:25:39.439Z,Diário Oficial de Prefeitura de Salvador,IDIB,2400
