data_coleta,titulo,resumo,instituicao,nivel,area,vagas,inscricoes_inicio,inscricoes_fim,url,status,data_publicacao,fonte,banca,salario_max
2026-06-06T17:25:59.810Z,Prefeitura de Vitória da Conquista autoriza realização de concurso público na Secretaria Municipal d,"... Concurso Público Edital Nº 001/2026, destinado ao preenchimento de 24 (vinte e quatro) vagas, bem como a formação de cadastro reserva para ...",Pref Vitória da Conquista,Superior,Tecnologia da Informação,182,2026-06-04T17:18:30.693Z,2026-06-21T17:18:30.693Z,https://www.pmvc.ba.gov.br/prefeitura-de-vitoria-da-conquista-autoriza-realizacao-de-concurso-publico-na-secretaria-municipal-de-financas/,Aberto,2026-06-02T17:18:30.693Z,Diário Oficial de Pref Vitória da Conquista,A definir,3500
2026-06-06T17:25:59.810Z,Concursos TI: editais publicados e previstos em 2026! AQUI,Concursos TI: confira o levantamento completo com todas as oportunidades para a carreira de Tecnologia da Informação. Por Lays Paixão,Gov Bahia (SEC),Médio,Tecnologia da Informação,720,2026-01-05T00:00:00.000Z,2026-08-16T00:00:00.000Z,https://blog.grancursosonline.com.br/concursos-ti/,Aberto,2026-06-02T17:18:30.693Z,Diário Oficial de Gov Bahia (SEC),FCC,22135.62
2026-06-06T17:48:08.033Z,Prefeitura de Vitória da Conquista autoriza realização de concurso público na Secretaria Municipal d,"... Concurso Público Edital Nº 001/2026, destinado ao preenchimento de 24 (vinte e quatro) vagas, bem como a formação de cadastro reserva para ...",Pref Vitória da Conquista,Superior,Tecnologia da Informação,182,2026-06-04T17:39:18.213Z,2026-06-21T17:39:18.213Z,https://www.pmvc.ba.gov.br/prefeitura-de-vitoria-da-conquista-autoriza-realizacao-de-concurso-publico-na-secretaria-municipal-de-financas/,Aberto,2026-06-02T17:39:18.213Z,Diário Oficial de Pref Vitória da Conquista,A definir,3500
2026-06-06T17:48:08.033Z,Concursos TI: editais publicados e previstos em 2026! AQUI,Concursos TI: confira o levantamento completo com todas as oportunidades para a carreira de Tecnologia da Informação. Por Lays Paixão,Gov Bahia (SEC),Médio,Tecnologia da Informação,720,2026-01-05T00:00:00.000Z,2026-08-16T00:00:00.000Z,https://blog.grancursosonline.com.br/concursos-ti/,Aberto,2026-06-02T17:39:18.213Z,Diário Oficial de Gov Bahia (SEC),FCC,22135.62
2026-06-06T19:57:24.105Z,Prefeitura de Vitória da Conquista autoriza realização de concurso público na Secretaria Municipal d,"... Concurso Público Edital Nº 001/2026, destinado ao preenchimento de 24 (vinte e quatro) vagas, bem como a formação de cadastro reserva para ...",Pref Vitória da Conquista,Superior,Tecnologia da Informação,182,2026-06-04T19:51:40.236Z,2026-06-21T19:51:40.236Z,https://www.pmvc.ba.gov.br/prefeitura-de-vitoria-da-conquista-autoriza-realizacao-de-concurso-publico-na-secretaria-municipal-de-financas/,Aberto,2026-06-02T19:51:40.236Z,Diário Oficial de Pref Vitória da Conquista,A definir,3500
2026-06-06T19:57:24.105Z,Concursos Bahia 2026: editais abertos e previstos no estado BA!,"... TI e Analista de Compras e Contratos e Assistente. Escolaridade, Nível médio e ... Nível superior. Carreiras, Fiscal e Tecnologia da Informação. Lotação, Bahia.",Prefeitura de Salvador,Médio,Tecnologia da Informação,890,2026-06-02T00:00:00.000Z,2026-08-16T00:00:00.000Z,https://blog.grancursosonline.com.br/concursos-bahia-ba/,Aberto,2026-06-02T19:51:40.236Z,Diário Oficial de Prefeitura de Salvador,FCC,14667.84
2026-06-06T21:40:45.422Z,Prefeitura de Vitória da Conquista autoriza realização de concurso público na Secretaria Municipal d,"... Concurso Público Edital Nº 001/2026, destinado ao preenchimento de 24 (vinte e quatro) vagas, bem como a formação de cadastro reserva para ...",Pref Vitória da Conquista,Superior,Tecnologia da Informação,182,2026-06-04T21:34:41.527Z,2026-06-21T21:34:41.527Z,https://www.pmvc.ba.gov.br/prefeitura-de-vitoria-da-conquista-autoriza-realizacao-de-concurso-publico-na-secretaria-municipal-de-financas/,Aberto,2026-06-02T21:34:41.527Z,Diário Oficial de Pref Vitória da Conquista,A definir,3500
2026-06-06T21:40:45.422Z,Concursos TI: editais publicados e previstos em 2026! AQUI,Concursos TI: confira o levantamento completo com todas as oportunidades para a carreira de Tecnologia da Informação. Por Lays Paixão,Gov Bahia (SEC),Médio,Tecnologia da Informação,720,2026-01-05T00:00:00.000Z,2026-08-16T00:00:00.000Z,https://blog.grancursosonline.com.br/concursos-ti/,Aberto,2026-06-02T21:34:41.527Z,Diário Oficial de Gov Bahia (SEC),FCC,22135.62
2026-06-06T21:40:45.422Z,Concursos de TI previstos para 2026 - YouTube,Go to channel Yuri do Carmo | Concursos de TI · O que faz e como se tornar um Auditor Fiscal na especialidade TI (Tecnologia da Informação).,Gov Bahia (SEC),Superior,Tecnologia da Informação,10,2026-06-04T21:34:41.527Z,2026-06-21T21:34:41.527Z,https://www.youtube.com/watch?v=mgGc6IsURks,Aberto,2026-06-02T21:34:41.527Z,Diário Oficial de Gov Bahia (SEC),FCC,3500
2026-06-06T23:39:37.299Z,Prefeitura de Vitória da Conquista autoriza realização de concurso público na Secretaria Municipal d,"... Concurso Público Edital Nº 001/2026, destinado ao preenchimento de 24 (vinte e quatro) vagas, bem como a formação de cadastro reserva para ...",Pref Vitória da Conquista,Superior,Tecnologia da Informação,182,2026-06-04T23:33:25.895Z,2026-06-21T23:33:25.895Z,https://www.pmvc.ba.gov.br/prefeitura-de-vitoria-da-conquista-autoriza-realizacao-de-concurso-publico-na-secretaria-municipal-de-financas/,Aberto,2026-06-02T23:33:25.895Z,Diário Oficial de Pref Vitória da Conquista,A definir,3500
