data_coleta,titulo,resumo,instituicao,nivel,area,vagas,inscricoes_inicio,inscricoes_fim,url,status,data_publicacao,fonte,banca,salario_max
2026-06-07T05:02:31.924Z,Concurso Prefeitura de Feira de Santana - Edital 02/2026 - Vagas para Pedagogos e Professores,Edital abre vagas na rede de educação básica de Feira de Santana para cargos de Coordenador Pedagógico (Pedagogo) e Professores de Educação Infantil e Anos Iniciais. Banca Instituto AOCP.,Pref Feira de Santana,Superior,Pedagogo,120,2026-06-09T05:02:31.922Z,2026-07-02T05:02:31.922Z,http://www.feiradesantana.ba.gov.br/secao.asp?id=51,Aberto,2026-06-06T05:02:31.922Z,Diário Oficial de Pref Feira de Santana,Instituto AOCP,3800
2026-06-07T09:43:52.323Z,Concurso Prefeitura de Feira de Santana - Edital 02/2026 - Vagas para Pedagogos e Professores,Edital abre vagas na rede de educação básica de Feira de Santana para cargos de Coordenador Pedagógico (Pedagogo) e Professores de Educação Infantil e Anos Iniciais. Banca Instituto AOCP.,Pref Feira de Santana,Superior,Pedagogo,120,2026-06-09T09:43:52.321Z,2026-07-02T09:43:52.321Z,http://www.feiradesantana.ba.gov.br/secao.asp?id=51,Aberto,2026-06-06T09:43:52.321Z,Diário Oficial de Pref Feira de Santana,Instituto AOCP,3800
2026-06-07T12:06:57.460Z,Concurso Prefeitura de Feira de Santana - Edital 02/2026 - Vagas para Pedagogos e Professores,Edital abre vagas na rede de educação básica de Feira de Santana para cargos de Coordenador Pedagógico (Pedagogo) e Professores de Educação Infantil e Anos Iniciais. Banca Instituto AOCP.,Pref Feira de Santana,Superior,Pedagogo,120,2026-06-09T12:06:57.459Z,2026-07-02T12:06:57.459Z,http://www.feiradesantana.ba.gov.br/secao.asp?id=51,Aberto,2026-06-06T12:06:57.459Z,Diário Oficial de Pref Feira de Santana,Instituto AOCP,3800
2026-06-07T14:25:39.440Z,Concurso Prefeitura de Feira de Santana - Edital 02/2026 - Vagas para Pedagogos e Professores,Edital abre vagas na rede de educação básica de Feira de Santana para cargos de Coordenador Pedagógico (Pedagogo) e Professores de Educação Infantil e Anos Iniciais. Banca Instituto AOCP.,Pref Feira de Santana,Superior,Pedagogo,120,2026-06-09T14:25:39.439Z,2026-07-02T14:25:39.439Z,http://www.feiradesantana.ba.gov.br/secao.asp?id=51,Aberto,2026-06-06T14:25:39.439Z,Diário Oficial de Pref Feira de Santana,Instituto AOCP,3800
2026-06-07T15:49:39.635Z,Concurso Prefeitura de Feira de Santana - Edital 02/2026 - Vagas para Pedagogos e Professores,Edital abre vagas na rede de educação básica de Feira de Santana para cargos de Coordenador Pedagógico (Pedagogo) e Professores de Educação Infantil e Anos Iniciais. Banca Instituto AOCP.,Pref Feira de Santana,Superior,Pedagogo,120,2026-06-09T15:49:39.634Z,2026-07-02T15:49:39.634Z,http://www.feiradesantana.ba.gov.br/secao.asp?id=51,Aberto,2026-06-06T15:49:39.634Z,Diário Oficial de Pref Feira de Santana,Instituto AOCP,3800
2026-06-07T17:45:11.099Z,Concurso Prefeitura de Feira de Santana - Edital 02/2026 - Vagas para Pedagogos e Professores,Edital abre vagas na rede de educação básica de Feira de Santana para cargos de Coordenador Pedagógico (Pedagogo) e Professores de Educação Infantil e Anos Iniciais. Banca Instituto AOCP.,Pref Feira de Santana,Superior,Pedagogo,120,2026-06-09T17:45:11.098Z,2026-07-02T17:45:11.098Z,http://www.feiradesantana.ba.gov.br/secao.asp?id=51,Aberto,2026-06-06T17:45:11.098Z,Diário Oficial de Pref Feira de Santana,Instituto AOCP,3800
2026-06-07T19:53:00.970Z,Concurso Prefeitura de Feira de Santana - Edital 02/2026 - Vagas para Pedagogos e Professores,Edital abre vagas na rede de educação básica de Feira de Santana para cargos de Coordenador Pedagógico (Pedagogo) e Professores de Educação Infantil e Anos Iniciais. Banca Instituto AOCP.,Pref Feira de Santana,Superior,Pedagogo,120,2026-06-09T19:53:00.969Z,2026-07-02T19:53:00.969Z,http://www.feiradesantana.ba.gov.br/secao.asp?id=51,Aberto,2026-06-06T19:53:00.969Z,Diário Oficial de Pref Feira de Santana,Instituto AOCP,3800
2026-06-07T21:42:16.835Z,Concurso Prefeitura de Feira de Santana - Edital 02/2026 - Vagas para Pedagogos e Professores,Edital abre vagas na rede de educação básica de Feira de Santana para cargos de Coordenador Pedagógico (Pedagogo) e Professores de Educação Infantil e Anos Iniciais. Banca Instituto AOCP.,Pref Feira de Santana,Superior,Pedagogo,120,2026-06-09T21:42:16.834Z,2026-07-02T21:42:16.834Z,http://www.feiradesantana.ba.gov.br/secao.asp?id=51,Aberto,2026-06-06T21:42:16.834Z,Diário Oficial de Pref Feira de Santana,Instituto AOCP,3800
2026-06-07T23:34:42.822Z,Concurso Prefeitura de Feira de Santana - Edital 02/2026 - Vagas para Pedagogos e Professores,Edital abre vagas na rede de educação básica de Feira de Santana para cargos de Coordenador Pedagógico (Pedagogo) e Professores de Educação Infantil e Anos Iniciais. Banca Instituto AOCP.,Pref Feira de Santana,Superior,Pedagogo,120,2026-06-09T23:34:42.821Z,2026-07-02T23:34:42.821Z,http://www.feiradesantana.ba.gov.br/secao.asp?id=51,Aberto,2026-06-06T23:34:42.821Z,Diário Oficial de Pref Feira de Santana,Instituto AOCP,3800
2026-06-08T05:09:48.301Z,Concurso Prefeitura de Feira de Santana - Edital 02/2026 - Vagas para Pedagogos e Professores,Edital abre vagas na rede de educação básica de Feira de Santana para cargos de Coordenador Pedagógico (Pedagogo) e Professores de Educação Infantil e Anos Iniciais. Banca Instituto AOCP.,Pref Feira de Santana,Superior,Pedagogo,120,2026-06-10T05:09:48.298Z,2026-07-03T05:09:48.298Z,http://www.feiradesantana.ba.gov.br/secao.asp?id=51,Aberto,2026-06-07T05:09:48.298Z,Diário Oficial de Pref Feira de Santana,Instituto AOCP,3800
